ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODciudad,NOMCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2024,07,00012,1,0016,1,5,202307000121001612, , ,1,2,2,1,2, ,2,61,2,2,19,12,1962,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,218.786256539363
2024,07,0001402,1,0065,1,5,20230700014021006511, , ,1,1,1,1,2, ,1,69,1,1,14,1,1955,1, , , , , , , , , , , , , , , ,5212,4721,2, ,3,2,1,1,0,9,9,6,7,7,8,46, ,46,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,1, ,260, , , , ,253, , ,513,513,513,1,302.612123530412
2024,07,0001402,1,0065,1,5,20230700014021006512, , ,1,2,11,1,2, ,1,60,2,2,16,11,1963,1, , , , , , , , , , , , , , , ,9523,4781,2, ,3,2,1,1,0,0,6,6,6,9,8,35, ,35,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,5,1, , , , , , ,433, , ,433,433,433,1,302.612123530412
2024,07,0001402,1,0066,1,5,20230700014021006611, , ,1,1,1,1,2, ,2,62,1,1,18,11,1961,1, , , , , , , , , , , , , , , ,9523,4781,2, ,3,2,1,1,5,5,6,6,6,6,9,43, ,43,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,5,1, ,130, , , , ,855, , ,985,985,985,1,198.994140425065
2024,07,0001402,1,0066,1,5,20240700014021006612, , ,1,2,3,1,2, ,2,31,2,2,30,10,1992,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,126.218471119513
2024,07,0001402,1,0066,1,5,20240700014021006613, , ,1,3,5,1,2, ,2,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,07,0001402,1,0066,1,5,20240700014021006614, , ,1,4,5,1,2, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,07,0001402,1,0067,1,5,20230700014021006711, , ,1,1,1,1,2, ,1,59,1,1,27,4,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,1,13,3,4,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,1,2,2,2,2,2,10,5,2, , , , , , , , , , , , ,1,302.612123530412
2024,07,0001402,1,0067,1,5,20230700014021006712, , ,1,2,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, 
2024,07,0001402,1,0068,1,5,20230700014021006811, , ,1,1,1,1,2, ,1,57,1,1,20,5,1967,1, , , , , , , , , , , , , , , ,6222,311,2, ,3,2,1,1,5,6,6,5,5,5,5,37, ,37,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,1, ,866, , , , ,736, , ,1602,1602,1602,1,366.502509772453
2024,07,0001402,1,0068,1,5,20230700014021006812, , ,1,2,2,1,2, ,2,52,2,2,19,6,1972,1, , , , , , , , , , , , , , , ,9112,5510,3,5,1, ,1,10,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,2,228, , , , , , , , , , , , , , ,1,4,2, ,2, ,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3, ,4,2,2,2,2,2,2,10,7,1, , , , , ,987, , , ,987,987,987,1,198.994140425065
